#,Style Guide Adherence,Variable Name Quality,Complexity Score,Max Line,Comment Ratio,Readability,Readability Manual
117,6,0.655555556,4,91,Medium,30.15,1
118,0,0.616666667,2.5,87,Medium,32.87,0
119,1.9,0.65,0,76,Bad,24.06,1
120,5.77,0.67,0,119,Medium,46.95,2
121,5.19,0.593055556,1,74,Medium,28.67,2
122,0,0.668055556,1.3,68,Medium,44.85,0
123,0,0.558333333,0,110,Very Bad,39.62,0
124,7.45,0.387602029,2.666666667,117,Medium,32.45,3
125,?,0.661494253,15,121,Medium,37.03,0
126,?,0.5,11,80,Medium,30.28,0
127,5.45,0.622222222,0,88,Medium,34.36,4
128,0,0.625245098,12.27272727,255,Good,31.39,0
129,3.74,0.380938153,4.333333333,89,Medium,29.91,3
130,0,0.65,0,76,Medium,24.66,1
131,2.88,0.578703704,4,112,Medium,28.33,2
132,0.67,0.644166667,3.5,132,Good,35.7,1
133,0,0.616666667,1.4,68,Medium,27.69,0
134,0,0.535714286,1,93,Medium,32.72,0
135,0,0.366618972,15.54545455,132,Medium,31.51,0
136,6.82,0.626488095,3.6,87,Medium,30.82,3
137,6.62,0.647619048,4,82,Good,28.42,2
138,5.23,0.49772661,11.5,147,Good,31.36,2
139,0,0.493983836,2.230769231,142,Medium,32.06,3
140,5.59,0.508333333,1.6,83,Medium,30.94,0
141,0,0.531737481,1.6,86,Medium,32.26,1
142,6.89,0.520512821,5,98,Medium,31.4,1
143,0,0.683333333,1,87,Good,33.69,0
144,5.96,0.708333333,4,192,Good,73.77,1
145,0.43,0.576041667,2.2,83,Medium,28.86,1
146,3.55,0.535057471,8.5,88,Medium,32.1,1
147,0.64,0.561666667,1.157894737,128,Medium,32.44,2
148,?,0.607142857,1.111111111,69,Medium,28.38,2
149,7.23,0.372559424,1.121212121,246,Good,31.72,4
150,0,0.489215686,2,66,Medium,29.23,0
151,0,0.586666667,2,132,Medium,35.02,0
152,1.33,0.546212121,0,81,Very Bad,16.35,2
153,8.16,0.512295753,3.625,96,Medium,39.08,4
154,3.33,0.569125683,7.083333333,175,Good,32.8,4
155,0,0.633333333,0,46,Medium,26.86,0
156,6.56,0.287816581,7.357142857,213,Good,30.04,2
157,7.53,0.646296296,4,85,Medium,25.5,2
158,6.63,0.549275362,3.25,80,Medium,30.43,1
159,6.12,0.618589744,5.5,103,Medium,36.63,3
160,0,0.716666667,2,89,Very Bad,25.08,0
161,5.63,0.393481367,2.24,128,Medium,28.96,1
162,8,0.447333333,2,240,Medium,30.47,4
163,5.67,0.620833333,2.666666667,81,Very Bad,23.56,2
164,0.59,0.595555556,2.25,102,Medium,29.61,1
165,6.67,0.666,1.75,128,Very Bad,25.06,0
166,0,0.614341085,2,112,Medium,32.9,0
167,0,0.491191857,1,78,Very Bad,22.07,4
168,0,0.586742424,2,193,Bad,32.12,4
169,0,0.601947931,10,101,Medium,29.05,0
170,0,0.585,5,139,Medium,30.38,4
171,7.14,0,1,83,Very Bad,22.39,0
172,0,0.574676511,2,88,Medium,31.72,0
173,0,0.495142536,5.5,127,Good,35.07,3
174,7.14,0.338430095,2.379310345,81,Medium,30.22,2
175,7.27,0.570634921,0,91,Medium,28.31,3
176,3.4,0.621428571,5.5,161,Medium,29.09,1
177,0,0.635714286,43,116,Medium,30.78,1
178,2.58,0.388002077,1.967741935,130,Medium,32.4,3
179,?,0.284890593,2.44,202,Medium,33.67,0
180,2.2,0.439393939,2.8125,123,Medium,43.57,1
181,1.83,0.531865793,3.714285714,139,Medium,34.33,4
182,7.86,0.568055556,1.25,97,Very Bad,23.04,2
183,3.53,0.594047619,2,107,Medium,30.53,1
184,2.35,0.610416667,9,102,Medium,33.1,1
185,1.67,0.540740741,2.333333333,80,Good,27.24,4
186,7.34,0.289937169,2.276595745,79,Good,27.37,4
187,0.77,0.441666667,1.25,102,Medium,33.48,0
188,7.32,0.627777778,0,82,Medium,29.72,0
189,5.38,0.569607843,10.5,110,Medium,31.58,0
190,1.58,0.610569106,7,141,Medium,35.22,1
191,0,0.65,1.5,94,Medium,29.41,0
192,6.64,0.268499666,12.7,159,Medium,35.91,3
193,4.64,0.302169805,7.666666667,98,Medium,31.62,1
194,9.63,0.5525,4,80,Medium,28.78,4
195,4.69,0.657142857,8,85,Medium,30.3,3
196,5.87,0.358537478,9.470588235,148,Good,33.64,4
197,3.79,0.508422148,1,109,Good,45.02,4
198,0,0.6125,6,151,Medium,37.64,1
199,4.3,0.53929536,1.166666667,126,Medium,41.87,2
200,2.69,0.626949532,1.25,90,Medium,39.38,2
201,7.86,0.478333333,10.33333333,182,Good,38.71,3
